root@titan:~# zfs get mountpoint
NAME                                  PROPERTY    VALUE                              SOURCE
backup                                mountpoint  /backup                            default
backup/Archives                       mountpoint  /backup/Archives                   default
backup/Archives@now                   mountpoint  -                                  -
backup/Media                          mountpoint  /backup/Media                      default
backup/Media/Music                    mountpoint  /backup/Media/Music                default
backup/Media/Music@now                mountpoint  -                                  -
tank                                  mountpoint  /tank                              default
tank@14                               mountpoint  -                                  -
tank/Archives                         mountpoint  /tank/Archives                     default
tank/Archives@275                     mountpoint  -                                  -
tank/Archives@276                     mountpoint  -                                  -
tank/Archives@now                     mountpoint  -                                  -
tank/Backups                          mountpoint  /tank/Backups                      default
tank/Backups@14                       mountpoint  -                                  -
tank/Backups/BoostPro                 mountpoint  /tank/Backups/BoostPro             default
tank/Backups/BoostPro@now             mountpoint  -                                  -
tank/Backups/CrashPlan                mountpoint  /tank/Backups/CrashPlan            default
tank/Backups/Images                   mountpoint  /tank/Backups/Images               default
tank/Backups/Servers                  mountpoint  /tank/Backups/Servers              default
tank/Backups/Servers@now              mountpoint  -                                  -
tank/Backups/System                   mountpoint  /tank/Backups/System               default
tank/Backups/System@13                mountpoint  -                                  -
tank/Backups/System@14                mountpoint  -                                  -
tank/Backups/System/Applications      mountpoint  /tank/Backups/System/Applications  default
tank/Backups/System/Applications@285  mountpoint  -                                  -
tank/Backups/System/Applications@286  mountpoint  -                                  -
tank/Backups/System/Applications@287  mountpoint  -                                  -
tank/Backups/System/Applications@288  mountpoint  -                                  -
tank/Backups/System/Applications@289  mountpoint  -                                  -
tank/Backups/System/Applications@290  mountpoint  -                                  -
tank/Backups/System/Applications@291  mountpoint  -                                  -
tank/Backups/System/Applications@292  mountpoint  -                                  -
tank/Backups/System/Applications@293  mountpoint  -                                  -
tank/Backups/System/Applications@294  mountpoint  -                                  -
tank/Backups/System/Applications@295  mountpoint  -                                  -
tank/Backups/System/Applications@296  mountpoint  -                                  -
tank/Backups/System/Applications@297  mountpoint  -                                  -
tank/Backups/System/Applications@298  mountpoint  -                                  -
tank/Backups/System/Applications@299  mountpoint  -                                  -
tank/Backups/System/Applications@300  mountpoint  -                                  -
tank/Backups/System/Applications@301  mountpoint  -                                  -
tank/Backups/System/Applications@302  mountpoint  -                                  -
tank/Backups/System/Applications@303  mountpoint  -                                  -
tank/Backups/System/Applications@304  mountpoint  -                                  -
tank/Backups/System/Applications@305  mountpoint  -                                  -
tank/Backups/System/Applications@306  mountpoint  -                                  -
tank/Backups/System/Applications@307  mountpoint  -                                  -
tank/Backups/System/Applications@308  mountpoint  -                                  -
tank/Backups/System/Applications@309  mountpoint  -                                  -
tank/Backups/System/Applications@310  mountpoint  -                                  -
tank/Backups/System/Applications@311  mountpoint  -                                  -
tank/Backups/System/Applications@312  mountpoint  -                                  -
tank/Backups/System/Applications@313  mountpoint  -                                  -
tank/Backups/System/Applications@314  mountpoint  -                                  -
tank/Backups/System/Applications@315  mountpoint  -                                  -
tank/Backups/System/Applications@316  mountpoint  -                                  -
tank/Backups/System/Applications@317  mountpoint  -                                  -
tank/Backups/System/Applications@318  mountpoint  -                                  -
tank/Backups/System/Applications@319  mountpoint  -                                  -
tank/Backups/System/Applications@320  mountpoint  -                                  -
tank/Backups/System/Applications@321  mountpoint  -                                  -
tank/Backups/System/Applications@322  mountpoint  -                                  -
tank/Backups/System/Applications@323  mountpoint  -                                  -
tank/Backups/System/Applications@324  mountpoint  -                                  -
