27 matches for "builder.*failed" in buffer: build.log.xz
   2468:builder for ‘/nix/store/909jq2achcdvw1xw6csz1liq608c3ih0-iperf-3.0.8.drv’ failed with exit code 2
  82407:builder for ‘/nix/store/85iy2f2a71zinspcv2z5jb3p5zxqkbmd-sbcl-1.2.3.drv’ failed with exit code 137
  82496:builder for ‘/nix/store/sryjia0rnbznhf76ihykizargicmbrfh-rustc-0.12.0.drv’ failed with exit code 1
  86607:builder for ‘/nix/store/swn1dyp2yfjz929krq4ds4z2q2a73nli-gdb-7.8.drv’ failed with exit code 2
  86622:builder for ‘/nix/store/kv2rdjxdljyyzh9z27ddm4mr1hmqdvjr-unarj-2.63a.drv’ failed with exit code 2
  86638:builder for ‘/nix/store/sg91sdmafvxg379rxb3sqdbs8yd2yqv2-figlet-2.2.5.drv’ failed with exit code 2
  87066:builder for ‘/nix/store/71c8cpbmjdn5hga325l7696fk3rybc4y-dar-2.4.11.drv’ failed with exit code 2
  87641:builder for ‘/nix/store/iksyv6gpj9advrkmpr6v0qfvi0cpzq5d-nix-1.7.drv’ failed with exit code 2
  87652:builder for ‘/nix/store/vr202vp8ly487x5idjv9cxsar884ysdd-emacs-r73.drv’ failed with exit code 1
  87697:builder for ‘/nix/store/9bqvh1lhz1vp9ykl8jp314wsddrfp8in-tlc-v3.1-r240.drv’ failed with exit code 1
  87817:builder for ‘/nix/store/yr9zkzy677w0s9s2202wkiai8kfvprfl-xdm-1.1.11.drv’ failed with exit code 1
  88636:builder for ‘/nix/store/l3z2ycbbj532ibicxxmfimf12vz7zxny-clucene-core-2.3.3.4.drv’ failed with exit code 2
 119972:builder for ‘/nix/store/cbgk4ssqg18s4rh76k3197ipg0yxsj5h-gcc-4.8.3.drv’ failed with exit code 2
 144517:builder for ‘/nix/store/lz8gp9kkx38dk9bj29pdwqmaxbh7h94h-xorg-server-1.14.6.drv’ failed with exit code 1
 144526:builder for ‘/nix/store/fn38vay9fp6yrr5lpvypc0z6m9hysssg-ctags-r804.drv’ failed with exit code 1
 144536:builder for ‘/nix/store/mb9c3j044hh0zrxrmi8qxcbxv4pj0p3l-libtiff-r198247.drv’ failed with exit code 1
 144599:builder for ‘/nix/store/zj1z5b1kjy3ad320ihcmrw6slaks0r51-ghc-7.0.4-binary.drv’ failed with exit code 1
 145373:builder for ‘/nix/store/dland7mddw0kh43r26y4pr25jhwf20ms-svn-r1977.drv’ failed with exit code 1
 216650:builder for ‘/nix/store/l6sf1aljcrkbflxhlwf7516wgh1axvb3-haskell-compdata-ghc7.8.3-0.9-profiling-shared.drv’ failed with exit code 1
 238182:builder for ‘/nix/store/mwblgxvas4947d6ln81agzcnfsvji663-haskell-gnuidn-ghc7.8.3-0.2.1-shared.drv’ failed with exit code 1
 257427:builder for ‘/nix/store/jcd3vghls62iw606zx7vic8p6qvm98fs-haskell-lens-ghc7.8.3-4.4.0.2-profiling-shared.drv’ failed with exit code 1
 264446:builder for ‘/nix/store/gpxskjmv7a66lw08wm7cdc15qfmdlzm0-haskell-units-ghc7.8.3-2.1-profiling-shared.drv’ failed with exit code 1
 265157:builder for ‘/nix/store/705wqgvzxmc87fkai5d3xgi3z55rcgkx-haskell-aeson-ghc7.8.3-0.8.0.2-profiling-shared.drv’ failed with exit code 1
 265907:builder for ‘/nix/store/hwik4cznbpnhcq4lidxljja2hzib21qf-haskell-parsers-ghc7.8.3-0.12.1.1-profiling-shared.drv’ failed with exit code 1
 268096:builder for ‘/nix/store/k8gyl4ira4ar3ggkc6751k77fdrbgk02-fetchdarcs.drv’ failed with exit code 2
 268114:builder for ‘/nix/store/zrfhnq5kibip5karhznmgwhqhlhjr3w1-fetchdarcs.drv’ failed with exit code 2
 288931:builder for ‘/nix/store/gr8adz46h4r5h6r87prl3gzgkg5jjgdd-bup-0.25-rc1-107-96c6fa2.drv’ failed with exit code 1
