[root@titan:~]# ps axwww
  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 systemd
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      0:00 [migration/0]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:26 [rcu_sched]
   10 ?        S      0:00 [migration/1]
   11 ?        S      0:00 [ksoftirqd/1]
   13 ?        S<     0:00 [kworker/1:0H]
   14 ?        S      0:00 [migration/2]
   15 ?        S      0:00 [ksoftirqd/2]
   17 ?        S<     0:00 [kworker/2:0H]
   18 ?        S      0:00 [migration/3]
   19 ?        S      0:00 [ksoftirqd/3]
   21 ?        S<     0:00 [kworker/3:0H]
   22 ?        S      0:00 [migration/4]
   23 ?        S      0:00 [ksoftirqd/4]
   25 ?        S<     0:00 [kworker/4:0H]
   26 ?        S      0:00 [migration/5]
   27 ?        S      0:00 [ksoftirqd/5]
   29 ?        S<     0:00 [kworker/5:0H]
   30 ?        S      0:00 [migration/6]
   31 ?        S      0:00 [ksoftirqd/6]
   33 ?        S<     0:00 [kworker/6:0H]
   34 ?        S      0:00 [migration/7]
   35 ?        S      0:00 [ksoftirqd/7]
   37 ?        S<     0:00 [kworker/7:0H]
   38 ?        S<     0:00 [khelper]
   39 ?        S      0:00 [kdevtmpfs]
   40 ?        S<     0:00 [netns]
  125 ?        S<     0:00 [writeback]
  128 ?        S<     0:00 [kintegrityd]
  129 ?        S<     0:00 [bioset]
  130 ?        S<     0:00 [crypto]
  132 ?        S<     0:00 [kblockd]
  299 ?        S      0:01 [kworker/0:1]
  300 ?        S      0:01 [kworker/1:1]
  301 ?        S      0:02 [kworker/2:1]
  303 ?        S      0:00 [kworker/4:1]
  304 ?        S      0:00 [kworker/5:1]
  306 ?        S      0:00 [kworker/7:1]
  421 ?        S      0:00 [khungtaskd]
  428 ?        S      0:00 [kswapd0]
  429 ?        SN     0:00 [ksmd]
  495 ?        SN     0:00 [khugepaged]
  496 ?        S      0:00 [fsnotify_mark]
  506 ?        S<     0:00 [kthrotld]
  546 ?        S<     0:00 [deferwq]
  774 ?        S      0:00 [khubd]
  782 ?        S<     0:00 [ata_sff]
  806 ?        S      0:00 [scsi_eh_0]
  816 ?        S<     0:00 [fw_event0]
  952 ?        S      0:00 [scsi_eh_1]
  955 ?        S      0:00 [scsi_eh_2]
  966 ?        S      0:00 [scsi_eh_3]
  969 ?        S      0:00 [scsi_eh_4]
 1048 ?        S<     0:00 [poll_0_status]
 1088 ?        S      0:01 [kworker/6:2]
 1097 ?        S<     0:00 [kworker/6:1H]
 1126 ?        S      0:03 [kworker/7:2]
 1157 ?        S<     0:00 [kworker/5:1H]
 1160 ?        S<     0:00 [kworker/3:1H]
 1161 ?        S<     0:00 [kworker/1:1H]
 1178 ?        S<     0:00 [kworker/7:1H]
 1189 ?        S<     0:00 [kworker/2:1H]
 1198 ?        S<     0:00 [kworker/0:1H]
 1207 ?        S      0:01 [kworker/5:2]
 1210 ?        S      0:00 [kworker/3:2]
 1211 ?        S      0:00 [kworker/2:2]
 1235 ?        S      0:00 [jbd2/sdm1-8]
 1236 ?        S<     0:00 [ext4-rsv-conver]
 1358 ?        Zs     0:00 [bash] <defunct>
 1535 ?        Ss     0:00 /nix/store/p79y7n3awskxl4affpvr8mp8aajb9z4f-systemd-212/lib/systemd/systemd-journald
 1548 ?        S<     0:00 [kvm-irqfd-clean]
 1556 ?        Ss     0:00 /nix/store/p79y7n3awskxl4affpvr8mp8aajb9z4f-systemd-212/lib/systemd/systemd-udevd
 1560 ?        SN     0:00 [spl_kmem_cache/]
 1561 ?        S<     0:00 [spl_system_task]
 1562 ?        S<     0:00 [spl_system_task]
 1563 ?        S<     0:00 [spl_system_task]
 1564 ?        S<     0:00 [spl_system_task]
 1565 ?        S<     0:00 [spl_system_task]
 1566 ?        S<     0:00 [spl_system_task]
 1567 ?        S<     0:00 [spl_system_task]
 1568 ?        S<     0:00 [spl_system_task]
 1587 ?        S      0:00 [kworker/3:3]
 1588 ?        S<     0:00 [arc_adapt]
 1589 ?        S<     0:00 [l2arc_feed]
 1590 ?        SN     0:00 [z_unmount/0]
 1591 ?        SN     0:00 [zvol/0]
 1592 ?        SN     0:00 [zvol/1]
 1593 ?        SN     0:00 [zvol/2]
 1594 ?        SN     0:00 [zvol/3]
 1595 ?        SN     0:00 [zvol/4]
 1596 ?        SN     0:00 [zvol/5]
 1597 ?        SN     0:00 [zvol/6]
 1598 ?        SN     0:00 [zvol/7]
 1599 ?        SN     0:00 [zvol/8]
 1600 ?        SN     0:00 [zvol/9]
 1601 ?        SN     0:00 [zvol/10]
 1602 ?        SN     0:00 [zvol/11]
 1603 ?        SN     0:00 [zvol/12]
 1604 ?        SN     0:00 [zvol/13]
 1605 ?        SN     0:00 [zvol/14]
 1606 ?        SN     0:00 [zvol/15]
 1607 ?        SN     0:00 [zvol/16]
 1608 ?        SN     0:00 [zvol/17]
 1609 ?        SN     0:00 [zvol/18]
 1610 ?        SN     0:00 [zvol/19]
 1611 ?        SN     0:00 [zvol/20]
 1612 ?        SN     0:00 [zvol/21]
 1613 ?        SN     0:00 [zvol/22]
 1614 ?        SN     0:00 [zvol/23]
 1615 ?        SN     0:00 [zvol/24]
 1616 ?        SN     0:00 [zvol/25]
 1617 ?        SN     0:00 [zvol/26]
 1618 ?        SN     0:00 [zvol/27]
 1619 ?        SN     0:00 [zvol/28]
 1620 ?        SN     0:00 [zvol/29]
 1621 ?        SN     0:00 [zvol/30]
 1622 ?        SN     0:00 [zvol/31]
 1637 ?        S<     0:00 [edac-poller]
 1644 ?        S<     0:00 [kworker/4:1H]
 1657 ?        S<     0:00 [ttm_swap]
 1711 ?        Ss     0:00 /nix/store/3phdf0zwxn5ia78s9q9qfpx7z891vcjp-smartmontools-6.2/sbin/smartd --no-fork
 1723 ?        Ss     0:00 /nix/store/lcm18kpmf38bmawj4kxglslxksdjar2z-samba-3.6.24/sbin/nmbd -F
 1724 ?        Ss     0:00 /nix/store/lcm18kpmf38bmawj4kxglslxksdjar2z-samba-3.6.24/sbin/smbd -F
 1725 ?        Ss     0:00 /nix/store/lcm18kpmf38bmawj4kxglslxksdjar2z-samba-3.6.24/sbin/winbindd -F
 1736 ?        Ss     0:00 /nix/store/cqi75r3fwl6n78h87bgivsn0lc93z8lg-rsync-3.1.0/bin/rsync --daemon --no-detach
 1737 ?        Ss     0:00 dhcpcd --quiet --config /nix/store/yi2d0xsyk8g71bv597vz14472ydy4qpm-dhcpcd.conf
 1749 ?        Ss     0:00 acpid --confdir /nix/store/krag40mmbidyq431p0zspgkfcnbiy7b7-acpi-events
 1756 ?        Ssl    0:00 /nix/store/92j8k15b4nr4bgrddcd38qcfhwjhl2sk-apcupsd-3.14.12/bin/apcupsd -b -f /nix/store/yqbd73s4754bac8v0g289s0h46wydal7-apcupsd.conf -d1
 1764 ?        S<     0:00 [bond0]
 1769 ?        Ss     0:00 /nix/store/lzfsa3pp8i0fbqx8nhgjypjzw9akzxyv-privoxy-3.0.21/sbin/privoxy --no-daemon --user privoxy /nix/store/z844ymy2b7azc49w3fb76ahng35d0ib7-privoxy.conf
 1771 ?        Ss     0:00 cron -n
